epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,569.351,1.2217,1.24795,1.12063,0.96309,0.9218,0.95029,0.60456,1.22121,0.75579,1.15872,0.000666379,0.000666379,0.000666379
2,1126.52,1.20387,0.67322,1.1428,0.97656,0.91957,0.96199,0.66035,1.16944,0.60515,1.14336,0.00120107,0.00120107,0.00120107
3,1688.56,1.17754,0.61602,1.13794,0.96876,0.93478,0.96393,0.65375,1.18408,0.59073,1.14832,0.00160377,0.00160377,0.00160377
4,2244.86,1.15046,0.57791,1.12382,0.98085,0.93587,0.96995,0.67574,1.14453,0.5491,1.12386,0.001406,0.001406,0.001406
5,2801.47,1.13134,0.539,1.11682,0.9793,0.93913,0.97459,0.68095,1.13844,0.51295,1.11853,0.001208,0.001208,0.001208
6,3358.61,1.10949,0.51066,1.10109,0.98581,0.94381,0.97643,0.68834,1.11967,0.48431,1.11149,0.00101,0.00101,0.00101
7,3914.14,1.09691,0.48174,1.09321,0.97725,0.95731,0.97852,0.6962,1.1103,0.45408,1.10773,0.000812,0.000812,0.000812
8,4468.67,1.07877,0.46257,1.08899,0.98782,0.95435,0.98225,0.70165,1.0914,0.43928,1.10116,0.000614,0.000614,0.000614
9,5023.52,1.05868,0.43931,1.07307,0.99098,0.95583,0.98356,0.70468,1.08977,0.43155,1.09327,0.000416,0.000416,0.000416
10,5578.39,1.04379,0.42066,1.06456,0.98364,0.96522,0.98472,0.7065,1.08434,0.41124,1.09099,0.000218,0.000218,0.000218
